REGISTERED TOURISM FACILITIES  DATABASE AS AT SEPTEMBER 2022 ,,,,,,,,,,
CODE,PROVINCE,AREA,NAME OF FACILITY,ADDRESS,EMAIL,TELEPHONE,GRADE,EMPL,CAP,ROOMS
LDG 0213,Mat North,Hwange ,Sinamatella Camp,"Parks and Wildlife Mngt Authority, Cnr Borrowdale Rd and Sandringham Dr, P.O Box CY 140, Causeway , Harare/ P Bag 9136 Masvingo  ",natparks@africaonline.co.zw,04-707624-9,Standard,,32,15
LDG 0215,Bulawayo,Bulawayo,Domba Lodges,A Sadomba.2 Whitman Rd Footbrigde Way Malindela Bulawayo,isabel@dombacastle.com,0292 240173,Standard,4,15,9
LDG 0218,Mash West,Kariba ,Makuti Travel Lodge,"R Holmes - 124 J Chinamano Avenue, Box CY 3371 Causeway Harare",makutih@hotmail.com,061 2141/531,Standard,29,,
LDG 0228,Harare,Harare,Tynwald Gardens,"Washington Mahlunge - 1 Tynwald Ave, Box 251 Box 251 Westgate Harare",heritage@iwayafrica.co.zw,09 244431,Standard,,8,4
LDG 0231,Midlands ,Gweru,Tranquility Guest Lodge,W Chitate-55 Steedman Road Athlone Gweru,tgl@mweb.co.zw,054 2220327,Standard,6,14,7
LDG 0232,Midlands ,Gweru,Mpumalanga Lodge,"18 Jacaranda Road Clonsilla,Gweru",,054 223432,Comfort,,30,30
LDG 0238,Midlands ,Gweru,Antelope Park,"Sharon Smith/Charlotte Chalmers-Vungu Road-P.O.Box 1218 , Gweru ","antelope@mweb.co.zw, reservations@antelopepark.co.zw",086 77021625,Comfort,61,40,14
LDG 0241,Manicaland,Chipinge ,Chipinge Breezes,Stand No 238 P O Box 365 Chipinge ,hrmoyana@mweb.co.zw,0773 239 021/0227-2042819,Standard,7,,
LDG 0245,Mash East,Marondera,Ruzawi Executive Lodge,"J Mangauzani  - Bill's Barn Plot, Waltondale Road, Box 1279 Marondera",ruzawilodge@gmail.com,0772 341 044,Standard,,15,15
LDG 0246,Mash East,Marondera,Imire Game Park,"J H Travers, P Bag 3750 Marondera",imiregp@zol.co.zw,0779 438 020,Standard  ,46,10,5
LDG 0250,Mash East,Chivhu,Tangenhamo Estates  t/a Parugare Safaris & Lodges,"M C Bhima &V N Bimha P O Box 804 Mt Pleasant,Harare","mikebimha@yahoo.com,parugaresafaris@gmail.com","0775 563 838,08677008541",Standard,15,,
LDG 0252,Mash West,Kariba,Zimre Lodge,"L Madzinga -Stand No 811 Camphill Rd, Mica Point, Kariba","mikechiurunga@icloud.com, mchiurunga@properties.zimre.co.zw",0832844561/9,Comfort,,12,8
LDG 0255,Bulawayo,Bulawayo,Silver Sands North End,"Y A Mullah - 22 Forbes Ave North End,Bulawayo",,0772 387 151/ 0292889476,No Star Rating,3,,
LDG 0259,Masvingo,Chiredzi,Nyerezi Safaris,"Hammond Ranch, Save Conservancy - P Bag 7070 Chiredzi",office@nysafaris.com,0713 490 935,Comfort,,16,4
LDG 0260,Masvingo,Chiredzi,Nhongo Lodge ," Tongatt Hulett - Hippo Valley Estates - P O Box 1, Chiredzi",rmostert@hippo.co.zw,0782259300,Comfort,11,12,6
LDG 0261,Mash West,Kariba,Mzimkulu Lodge,Andrew S  Mpala - 980 Baobab Ridge Kariba,mzimkulumpala@gmail.com,"0782 951 856,0779 040 122",Comfort,5,15,9
LDG 0268,Bulawayo,Bulawayo,Ganda Lodge,"71 Fife Street Bulawayo, Box 27,Dete",,0773 668 986,Standard  ,11,32,16
LDG 0269,Midlands ,Gweru,The Village Lodge,"Lot 1, Bonnie Brae Farm, Xmas Gift, Gweru- P.O Box 887, Gweru", ,04 701473/7,Comfort,,44,21
LDG 0270,Harare,Harare,Carry's Court Guest Lodge,"Shava  - 123 Samora Machel Avenue ,Harare ",,"04 2931122/3,0772693557",Standard,,28,14
LDG 0275,Midlands ,Kwekwe,Tropicana Guest Lodge,"F Shava. 10 Norfolk Drive, Fitchlea, Kwekwe",idamaroro@gmail.com,04 750400 751916 / 0772336953,Standard,,6,6
LDG 0284,Midlands ,Gweru,Eagle Nest Lodge ,"B Dube & S R Maphosa - Cowford Farm, Shurugwi Rd Gweru, ",managingdirector@theeaglesnest.co.zw,0773 489 531,Standard,8,40,10
LDG 0285,Harare,Harare,Lodge Fairmile ,Douglas Makuluni - 36 A Fairmile road Bluffhill Harare,doug.makuluni@gmail.com,0777 035 860,Standard,,30,15
LDG 0289,Manicaland,Nyanga,Mare Dam Lodges,"Nyanga National Park – P O Box 2696, Harare ",marebookings@yahoo.com,04-495980,No Star Rating,,,
LDG 0289,Manicaland,Nyanga,Nyanga Mare Camp,PWMA – P O Box CY 140 Causeway Harare,natparks@africaonline.co.zw ,029-8-384/274,Standard,,90,36
LDG 0290,Mash West,Mana Pools,Chikwenya Safari Lodge,"6 Crawford Road, Graniteside Harare",john.mapondera@gmail.com,0772 698 213,,34,18,7
LDG 0310,Bulawayo,Bulawayo,Ilanga Lodge,"Mr and Mrs Noyo,83 Burnside Rd,Bulawayo",wildset@gmail.com,09-240515/0772340093,Standard,,14,7
LDG 0311,Bulawayo,Bulawayo,Entabeni Lodge ,"48 Weir Avenue, Hillside, Bulawayo – Faith Makamure.",entabenilodge@gmail.com,"09 44397/ 09 242988,09 240421",Standard,4,16,4
LDG 0317,Bulawayo,Bulawayo,Grand Palm Lodge T.P Sibanda,"91Circular Drive, Burnside, Bulawayo",grandpalmlodge@gmail.com,"09 285908,469983,023406319",Standard,,30,15
LDG 0318,Mat South,Beitbridge,Travellers Executive Rest Lodge Beitbridge,J Mangiza   - Stand 4675/3755 Mashakada Beitbridge ,,"0776 102 822,0772 531 805",Standard,14,68,34
LDG 0319,Mash East,Marondera ,Karumazondo Outdoor  Centre ,"Nyasha Karumazondo - Aquabella Farm, P O Box 622, Marondera ",karumazondocentre@gmail.com,0773425451/071438534,Standard ,8,34,17
LDG 0330,Mat South,Plumtree,Kombani Africa Lodge,"Stand no. 650, Plumtree Border Road, Plumtree",kombaniafricalodge@gmail.com,09 244701,Comfort,,,
LDG 0330,Mat North,Vic Falls,Mpala Jena - Safari Camp,"Kevin D Lang - 10 km into the Zambezi Nat Park, Vic Falls. P Bag 9245 Hillside Bulawayo.",jenampala@gmail.com,773249990,,8,,
LDG 0334,Harare,Harare,Heritage Hills Lodge,"Washington Mahlunge - 9 Spirtzkop, Snake Park, Harare",heritage@iwayafrica.co.zw,72331/ 65026/62312,Standard  ,,40,20
LDG 0336,Mat South,Beitbridge,The White Lodge,"4673 Dulibadzimu T/Ship, Beitbridge",whitelodgebeit@outlook.com,0852323943,Standard,10,40,20
LDG 0337,Harare,Harare,Ochi Safaris Lodge,"O. Chibage- Lot 1, Killarney  Est Borrowdale, Harare",ochisafari@gmail.com,054 224163/4,Standard,,24,12
LDG 0338,Harare,Harare,Woodlands Guest House Harare,"David McCann-9 Princess Close ,Borrowdale ,Harare",bookings@wgl.co.zw.,086 88002309,Luxury,,16,8
LDG 0339,Manicaland,Mutare,Valley Lodge (Pvt) L.t.d,"Clark Makoni -P.O.Box 1437,Stand 4006 Beira Road Mutare",lodgevalleyzw@gmail.com,0773 194 179,Standard,14,,
LDG 0341,Bulawayo,Bulawayo,The Farmhouse Bulawayo,"John Starr Burton-48 Km on Matopos Road, Matopos, Bulawayo","goodkyle3@gmail.com,bookings@farmhouse.com",0383-218,Standard,,24,12
LDG 0346,Mat South,Beitbridge,Bubi Village Lodge ,"B.A Cawood-Lot 21A of Nuanetsi, Bubi, Beitbridge",bubivillage@gmail.com,0773 284 880,Standard,,,
LDG 0349,Mash West,Chirundu ,Chirundu Safari Lodge,"Chirundu Crocodile Company Chirundu Estates,Chirundu,P.O. Box 3683, Harare",accounts@chirundusafaris.lodge.com,0772 357 621,Standard,17,22,11
LDG 0350,Midlands ,Gweru,Lodge Fife Street,"O. Maputsenyika- Suite  1&2,71A 5th Street, Gweru",,"013 42313,44426",No Star Rating,4,,
LDG 0353,Bulawayo,Bulawayo,Empire Suites,"Dr Vijaykumar & N. Patel- 117 George Silundika St/ 12th Ave, Bulawayo.",,"486292/ 486936,0733719 579,0775 265 068,0732 123 666",Luxury,,50,25
LDG 0357,Bulawayo,Bulawayo,Sizohlala Lodge & Conference Centre,"James Mutema-40 Northway, Burnside Bulawayo",jmutema@gmail.com,09 243435,Standard,,20,11
LDG 0360,Harare,Harare,Westend Lodge,"G. Maphosa- Flame Lily Hospitality- 11 Fife Avenue, Harare",flamelilyhospitality@gmail.com,0242 794239,Standard,9,72,36
LDG 0361,Bulawayo,Bulawayo,Ivory Lodge,S W Stead -  Sikumi Tree Forest 23 Old Gwanda Road Hillside Bulawayo.,resman@amalindacollection.co.zw,002638677004210,Standard,1,18,9
LDG 0362,Mat North,Dete,Miombo Safaris Lodge,A Connolly 90 Mpofu Road Dete Hwang National Park,nicky@africanencounter.org,"018-446,702814-6",Comfort,4,18,9
LDG 0363,Mat North,Dete,Tuskers Pan Safari lodge T/A Elephant's Eye,"Garth Clem Jenman-Sikumi Forestry Area, Dete-P.O Box 184 Victoria Falls",zimadmin@jenmansafaris.com,013-45127,Standard,10,16,8
LDG 0366,Harare,Harare,Riverstone Lodge T/A Pee Money Enterprises Pvt Ltd ,T Musina and Owen Murumba Lot 1/1/33 Waterfalls Ardebennie Harare,eventsmegadeco@yahoo.com,0776 826 102,Comfort,5,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,5
LDG 0367,Harare,Harare,Gingerlily Hillview Lodge, G J Maphosa - 27 Bishop Gaul Avenue Harare.,flamelilly@africaonline.co.zw,031 5090/ 0772 257392/0772292056,Standard,11,23,13
LDG 0373,Mash West,Kariba,Chifudze Lodge,"R T Van Der Riet- Omay South Communal Lands Chifudze River, Kariba,P.O Box 10191 Harare",debbie@nationalsafaris.com,0772 605 296,Standard,10,,4
LDG 0374,Mat South,Beitbridge,Limpopo Lodge,"Obert Dube-Stand 2905, Beitbridge",,0712402642,No Star Rating,,18,9
LDG 0375 ,Harare,Harare,Stable Lodge ,"C.P.M. Peech-Stand 2282 Enterprise Road, Glen Lorne Harare",sunray@metrocommodities.com,0772 282 050,,,,
LDG 0378,Harare,Harare,Mudziyashe Lodge,"D. Mataranyika-2828 Enterprise Rd, Glen Lorne, Harare",,0772 263 634,Comfort,4,,5
LDG 0381,Midlands ,Shurugwi,Nichrut Lodge,N Gara & R Mahwite - Plot 74 Sebanga Port Shurugwi.P O Box213 Shurugwi.,nichrutlodge@gmail.com,052 6495,Standard,,,12
LDG 0386,Mat North,Matetsi,Matetsi Private Game Reserve,"John Ralph Thomas Moxon - Unit 7, Matetsi Safari Area, Kazungula Rd, Victoria Falls - 1 Derry Circle Emerald Hill Harare.",receiptio@matetsivictoriafalls.com,086 7704779,Luxury,7,,
LDG 0387,Masvingo,Chiredzi,Nyari Lodge ,"Tongaat Hulett - Hippo Valley Estates- P.O Box 1, Chiredzi",rmostert@hippo.co.zw,213 2842001,Comfort,43,20,10
LDG 0388,Mash West,Kariba,Spurwing Island,"R.H Hacker - P.O Box 101, Kariba",harareaccounts@spurwing.co.zw,0772 600190,Comfort,48,40,19
LDG 0389,Mat North,Victoria Falls,Batonka Guest Lodge ,"De Leo,L Dacomb & B Munyenyiwa - Plot 1406 Reynard Road Victoria Falls.",bruno@batonkaguestlodge.com,0772 144 778,Luxury,19,44,22
LDG 0390,Harare,Harare,Manna Safari Lodge ,"Norman &  Joy Mataruka - The Heritage Estate,690 Glenwood Drive Glen Lorne Harare.",jmmatarukjoy@gmail.com,"0772 684 927,0712 865 059",Comfort,46,44,22
LDG 0391,Mat South,Beitbridge,Zhovhe Leisure Park,Saliwe Tlou & Nonia Ndou - Stand 1 Lot 8 Jopembi Beitbridge.,toppckinvestments@gmail.com,0774 414 641,Not yet Graded,,,15
LDG 0392,Masvingo,Masvingo,Manyuchi Holiday Resort,"O Z Shiriyapenga - Manyuchi Dam,P O Box 46 Neshuro Masvingo",shiriyapenga@gmail.com,0772 104 083,Standard,,16,8
LDG 0394,Mat North,Tsholotsho,Camelthorne Lodge ,M H Butcher - Tsholotsho Ngamo Village Area 68 Townsend Road Surburbs Bulawayo.,"imvelo@imvelosafarilodge.com,zondo@matupula.co.zw",0783 568 632/0292232331,Comfort,32,16,8
LDG 0395,Harare,Harare,12 Fleetwood Lodge ,Anna Maria King & Joyline Rugoho - 12 Fleetwood Road Alexandra Park Harare.,12fleetwood@zol.co.zw,0242 744029,Comfort,9,24,12
LDG 0396,Manicaland,Chipinge,Southern Oasis Lodge ,Regai M Nyambirai - Stand No 39 Checheche Chipinge.,,0317 333,Comfort,5,15,8
LDG 0397,Masvingo,Masvingo,Clever Lakeview Resort -Norma Jeanes Lake View Resort,"C M R Sparrow-Dunollie Estate Great Zimbabwe Rd, Masvingo,P.O Box 196 Masvingo",normajeanes@yoafrica.com,"0772 285 137,08677160647",Three Star( Comfort),,,
LDG 0398,Harare,Harare,Oaklands Apartments,A K Jumbe - 10 Browning Drive Strathaven Harare.,jumbe@zol.co.zw,499438/ 0774 186 099,Comfort,7,,
LDG 0399,Mat North,Victoria Falls ,Ekaya Lodge Victoria Falls ,Garikai Nhamo Gwenzi &Joyce Sithole - Behind Zambezi Grid Bar Victoria Falls.,gwenzihardware@gmail.com,"0772 963 446,0772 703 422",Standard,30,,20
LDG 0399,Mat North,Victoria Falls ,Ekhaya Lodge ,Garikai N Gwenzi - Zambezi Grid Bar Bulawayo Victoria Falls ,,"0772 703 422,0774 376 533",,3,32,8
LDG 0400,Bulawayo,Bulawayo,Pebble Rock Lodge,Sihle Anita Sibanda - 36 Elvington Road Hillside Bulawayo.,info@pebblerocklodge.com,0733 617 912,Comfort,7,24,12
LDG 0401,Mat South,Gwanda,Trigger Lodge ,Jasper Mosendame - Stand 23 Deneys P O Box 213 Gwanda ,triggerlodge@gmail.com,0773 025 655,Not yet Graded,8,30,15
LDG 0402,Bulawayo,Bulawayo,Zimsafaris - Hermits Peak ,"John & Alistair Burton - Far Lamorna,Kezi Road Matopos Bulawayo",zimsafaris@gmail.com,0776 434 666,Comfort,5,18,9
LDG 0404,Harare,Harare,Stephen Margolis Resort,Stephen & Lionel Margolis-Stand 595& 571` Derby shire waterfalls  Harare,stephenmargolisresort@gmail.com,0773 415 990,Comfort,20,40,20
LDG 0406,Bulawayo,Bulawayo,Retreat Lodge and Conference Centre,Shepherd Mupemba - 4 Lois Lane 22 Annabel Eleoana Bulawayo.,mpembashepherd@gmail.com,"0788 351 443,0719 545 983",,15,16,8
LDG 0409,Mash West,Kariba,Bumi Hills Safari Lodge And Spa ,"P E Van Deventer ,S McCormick &Bell Charles Frederick - Bumi Hills Kariba  16 Preston Drive Alexandra Park Harare.",mcebisi@africanbushcamps.com,0772 126 987,Luxury,44,24,12
LDG 0410,Mat North,Victoria Falls ,Pamarah Lodge ,P S & M S Riddle - 593 Nguhuma Cresent Victoria Falls ,pamarahlodge@gmail.com,0832 840688,Comfort,14,16,8
LDG 0412,Mat North,Victoria Falls ,Tsowa Island Lodges & Safaris ,"L. Muvingi & B.W Gehren - Zambezi National Park, 5 Combermount Close, Borrowdale, Harare",tsowaisland@gmail.com,0773 442 104,,2,,
LDG 0415,Mat North,Victoria Falls,Phezulu Guest Lodge,"A.K Johnson - 557 Mopani Road, Victoria Falls",phezulu600@gmail.com,08328 41376,Comfort,17,42,21
LDG 0422,Mash West,Chinhoyi,Nyadara Ventures,"Neville Corris&Bradley Ross Ferreira, Stand 169 Karoi  P.O Box 3 Chinhoyi",nyaderaventures@gmail.com,0712 409 107/0773 650979,,8,6,3
LDG 0425,Mat North,Hwange,Nantiwich Lodge ,Garth Jenman - Nantwich Hwange National Park,accounts@jenmansafaris.com,"0772 522 522,0772 808 299,08677103644",,10,18,9
LDG 0428,Mash East,Mutoko,Mutoko Luxury Lodges,"Anesu & Cecilia Chibanguza - Mutoko Centre-P.O Box 458, Mutoko",chibanguzacollin@gmail.com,062 844215/844292/ 0712607161,Standard,6,18,9
LDG 0429,Midlands ,Zvishavane,Rockville Lodge,Vavarirai Mahwire Runde Rural Distric Kosvoro Village Zvishavane ,"vamahwire@gmail.com,rockvillelodge@gmail.com",0775 561 907,,25,20,10
LDG 0431,Midlands ,Gokwe ,Pumba Safari Lodge ,Freeman Mutero - Stand 2 Nembudziya  Turn Off Gokwe South,info.pumbasafarilodge@gmail.com,0772 135 324,Standard,9,16,8
LDG 0432,Mat North,Victoria Falls ,Pioneers Lodge ,Alberto De Leo - 525 Reynard Road Victoria Falls ,accounts@batonkaguestlodge .com,"08677197736,0787 247 838",Three Star,45,100,50
LDG 0433,Mat North,Victoria Falls ,Mopani Lodge ,Tadiwanashe Ndofirepi - 560 Mopani Victoria Falls ,tadiwa@mopaniresort.com,0775 139 687,Standard,4,24,12
LDG 0434,Mash West,Darwendale,Mhukahuru Resort,Byron Matebe Fundira - Darwendale Recreational Park 3B7 Palland Valley Umwinsidale Harare,byronfundira04@gmail.com,0774 173 316,,12,,
LDG 0435,Mat South,Gwanda ,Makhado Lodge ,Saliwe Tlou & Nonia Ndou - Makhado Bisiness Centre Gwanda,toppickinvestments@gmail.com,0786 684 948,,12,56,28
LDG 0437,Mat North,Victoria Falls ,Shoestrings Backpackers Lodge ,M J Johnson - 12 West Drive Victoria Falls ,shoestrings700@gmail.com,0779 073 293,Standard,21,26,12
LDG 0438,Mat South,Beitbridge,Zebra Hilltop Lodge ,Roy Muleya - Royal Cooper Farm 48km Peg Mazunga Beitbridge ,"raymuleya72@gmail.com,berthamuto@gmail.com",0242 850212,,,80,26
LDG 0439,Mat North,Victoria Falls ,Nkosi Guest Lodge ,Micheal James Johnson - 586 Manyika Road Victoria Falls,nkosimanager@gmail.com,0832840414,Luxury,,48,24
LDG 0440,Masvingo,Chiredzi,Camp David Village,D Saunyama - 9777 Ngundu / Tanganda Road Chiredzi,saunyamad2@gmail.com,013- 45028,,,12,6
LDG 0441,Mash West,Norton ,Hideaway Lodge ,Kelly Foster - Aberdeen Farm 7 Dermoy Road Borrowdale Harare,hideawayfishingcamp@gmail.com,"0772 465 555,0717 349 641,0775 159 764,0718 399 152",,11,36,20
LDG 0442,Masvingo,Nyika,Chakas Lodge,"M Rambanapasi - Bikita  P O Box Rozva Dam, Nyika",memram2@gmail.com,774055646,,8,,
LDG 0443,Midlands ,Kwekwe,Sagilla Lodge,"Arthur B Nduku - Lot 9/9A Beverly Hills, Chiucago Kwekwe",guest.lodge@profonmail.com  ,0774607398/0552547532,Standard,6,,10
LDG 0444,Mat North,Victoria Falls ,Kopanashe Lodge ,A Nyamande - 420 Km Peg Bulawayo Victoria Falls Road,nyamande2013@gmail.com,0778 876 491,,6,46,23
LDG 0445,Mat South,Beitbridge,Greater Kuduland Fishing Safaris,B H Knott - Nottingham  Estates Sentinel Road Beitbridge,bookings@nottinghamestate.co.za,0712 237 171,Luxury,24,44,22
LDG 0446,Manicaland,Chimanimani,The Treehouse Chimanimani,W L Robinson - Tilbury Estate Chimanimani,info@thetreehouse.co.zw,0784 547 624,,13,12,6
LDG 0447,Mat North,Victoria Falls ,Insika Lodge ,R M Henson - 1740 Parkway Drive Victoria Falls ,krishna@insikalodge.com,0775 866 400,,,,
LDG 0449,Manicaland,Penhalonga,Lake Alexander Country Resort,T Kanyongo - Lot 2 Drennan Penhalonga,psmadzima@gmail.com,0779 271 925,,8,18,7
LDG 0450,Mat North,Victoria Falls ,Princess Islands,A Chinhara - Zambezi National Park Victoria Falls ,schivhuna@glowpetro-leum.co.zw,0773 227 979,,,200,100
MOTELS,,,,,,,,,,
MTL 0003,Mash West,Chegutu,T P Rukawo Motel,Mike Tongai Rukawo - 452A Queen Street Chegutu,,0772 348 500,,,,
MTL 0004,Mat South,Beitbridge,Peters Motel,Stands 60A and 61A - P O Box 21 Beit Bridge,petersmotel@gmail.com,"0775 393 655,242 710 262",No Star Rating,48,70,35
MTL 0005,Mash West,Kadoma,Kadoma Hotel & Conference Centre,"Cnr Eiffel Flats, Harare-Bulawayo Rd P O Box 874,Kadoma",accounts@kadomarainbow.co.zw,054 221070,Two Star,,301,147
MTL 0011,Manicaland,Rusape,Crocodile Motel ,I Madziyire - Std 400 Harare-Mutare Road Rusape T/ship – P. O Box 166 Rusape – R. Wood ,crocomotel@gmail.com,"0772 398 901, 0225 2052404",One Star,26,31,14
MTL 0015,Midlands ,Shurugwi,Motel Sungano ,E. Mukarakate - 1 Garden Road Sebanga Park Shurugwi,eddiegold65@gmail.com,0772 993 636,No Star Rating,5,120,60
MTL 0017,Masvingo,Chiredzi,The Palm  Tree Place,Lovemore Chiwanza - Lot 12 Hippo Valley Estates Tanganda Road Chiredzi,accspalmtree@gmail.com,031 231 3333,2 Star,48,52,26
MTL 0018,Mash East,Chivhu,Phil - Jen Country Motel ,Prosper Chibaya - Stand 509 Northwood Suburbs Chivhu,pchibaya@gmail.com,0773 288 011,Two Star,40,48,24
MOTOR VEHICLE HIRE,,,,,,,,,,
MVH 0017,Harare,Harare,Europcar Zimbabwe ,"46 St Patricks Road, Hatfield, Harare – John Patric Rooney/T Tawoneyi/Chengeto Kumira",sales@europcar.co.zw/carhire@europcar.co.zw,0229 2083010/2/ 0772 462 229,,,,
MVH 0019,Harare,Harare,Avis Rent A Car,"Lot 2 Arlington Airport. J M Nkomo Road Hatifield Harare. – P O Box 3677, Harare – J S Nicholson",,0715 315 679,,29,,
MVH 0068,Harare,Harare,Glory Car Hire,Phillip Chiyangwa  - 160 Enterprise Road Highlands Harare,philip.chiyangwa@gmail.com,"0772 197 274,0772 950 892",,27,,
MVH 0069,Harare,Harare,Easy Go Car Hire,"CMED,Cnr Rekayi Tangwena/Herbert Chitepo,Harare",easygomarketing@cmed.co.zw,0242 764362,,4,,
MVH 0076,Harare,Harare,Impala Car Rental,"40 Chiremba Road, Hillside Harare",impalacarrental@yahoo.com,0832841556,,,,
MVH 0089,Mat North,Victoria Falls,Khanondo Car Rental and Travel,"Sifiso Mpofu-Shop 1&2 Bata Building, Victoria Falls",                                                                  ,013 44884/5,,,,
MVH 0093,Harare,Harare,Min Taxes,"M&R Kwindima-22 Auld Crescent, Eastlea Harare ",info@mintaxis.co.zw,0772 840 619,,,,
MVH 0100,Harare,Harare,Packer Travel & Tours ,P Nherudzo - 2 A Tweed Road Eastlea Harare,patience.nherudzo@gmail.com,0242 495439,,9,,
MVH 0107,Harare,Harare,Murare Investments ,Mr & Mrs Zingoni - 35 Westend Road Greendale Harare,info@murare.co.zw,020 68675,,2,,
MVH 0109,Harare,Harare,Breakfront Car Hire & Travel ,"N.Mukora - 75 Livingstone Ave/ Cnr 7th Street, Harare",breakfrontzim@gmail.com,0772 271 231,,,,
MVH 0111,Harare,Harare,Mayflower Investments (Pvt) Ltd ,"J Chapwanya - 23 Harare Drive, Malborough, Harare",admin@mayflower-carrentals.com,0242 3013336,,5,,
MVH 0112,Harare,Harare,Manapools.Com,Anthony Norman Bown - 23 Moulsham Road Dawn Hill Springfield Road Greendale Harare,ant@manapools.com,0778 422 185,,3,,
MVH 0114,Harare,Harare,Econet Services (Pvt) Ltd T/A Vaya Africa,"N. Mangwiro/ N. Moyo - Northwood Park, Northridge Close, Borrowdale, Harare",amoyo@cumii.net/egonmani@cummi.net,"086 23421, 0773 035 608",,39,,
MVH 0119,Mat North,Victoria Falls,Synergy Car Rental Victoria Falls ,"Synergy Car Rental, Victoria Falls Airport",info@impala.co.zw,0773 062 485,,2,,
MVH 0120,Harare,Harare,Sahwira Events and Lifestyle ,S mukonowenzou- 63 Birmngham Road Southerton Harare,booking@sahwiraleisure.com,0717 401 156,,3,,
MVH 0121,Bulawayo,Bulawayo,Synergy Car Rental Bulawayo,Shop No 4 Ground Floor Joshua Nkomo International Airport Bulawayo,info@impala.co.zw,09 888318,,3,,
MVH 0123,Mat North,Victoria Falls ,Easy Go Car Hire Vic Falls,"CMED,GD 354 Victoria Falls Domestic Terminal Victoria Falls",easygomarketing@cmed.co.zw,0242 764362,,4,,
MVH 0125,Harare,Harare,Shumba Car Rental,Hope Chibanda -  Cnr 3rd Street & Nelson Mandela Avenue Harare,chibandah@zimnat..co.zw,"0252052274 ,0772 201 461",,6,,
MVH 0129,Harare,Harare,Mwendo Africa Pvt Ltd,Martin & Leonard Chauraya - 35 Quorn Mt Pleasant Harare,info@mwendoafrica.com,"0775 837 296 ,0242 301244",,10,,
MVH 0130,Harare,Harare,The Best Car Rental Harare,Zivanai & Alexious Masere - No 4 Elsworth Road Belgravia Harare,sales@thebest.co.zw,04 772583/9/ 772648/ 772633,,18,,
MVH 0135,Harare,Harare,Traveyo Car rental,Wilson Chinzou - 21 Glenara South Avenue Eastlea Harare,wchinzou@traveyo.co.zw,0779 744 113,,6,,
MVH 0136,Harare,Harare,Muthengo Travel & Tours ,Ngonidzashe Marimo - 39 Tunggate Road Borrowdale Harare,muthengo@muthengo.co.zw,0242 850 430,,3,,
MVH 0137,Bulawayo,Bulawayo,The Best Car Rental Bulawayo,Alex Masere - 102 A S Parirenyatwa Street Bulawayo,sales@thebest.co.zw,"0772 366 300, 0242 57025/6",,8,,
MVH 0138,Harare,Harare,The Legacy Car Rental,C Dondo - 6 Divine Road Milton Park Harare,accounts@thelegacy.co.zw,0772 109 044,,2,,
MVH 0139,Harare,Harare,Blueberry Travel Pvt Ltd,J Asrani - 179 King George Road Avondale Harare,jasrani@blueberry-travel.com,0784 757 413,,7,,
MVH 0139,Harare,Harare,Blueberry Travel Pvt Ltd,J Asrani - 179 King George Road Avondale Harare,jasrani@blueberry-travel.com,0784 757 413,,7,,
MVH 0139,Harare,Harare,Blueberry Travel Pvt Ltd,J Asrani - 179 King George Road Avondale Harare,jasrani@blueberry-travel.com,0784 757 413,,7,,
NON CONSUMPTIVE SAFARI OPERATORS ,,,,,,,,,,
PSO 0008,Harare,Harare,Stretch Ferreira Safaris Pvt Ltd,A. Jan Ferreira - Mana Pools National Park 87 Hawick Road Pomona Harare., bookings@stretchsafaris.com,0772 351 222,,14,,
PSO 0022,Mat North,Dete,The Hide Safari Camp,Hwange National Park – P O Box118 Dete ,presgrou@mweb.co.zw,04 660554/6/ 018- 617/ 487,,30,,
PSO 0041,Bulawayo,Bulawayo,Khangela Safaris,"18 Lochview Rd, Lochview – P O Box FM 296 Famona Byo – M Scott ",scott@gatorzw.com,0779 033 083,,,,
PSO 0053,Mat North,Victoria Falls,Makalolo Plains,Dete Cross Roads – P O Box 288 Victoria falls.,hazels@wilderness.co.zw,0832 843371/2,,27,,
PSO 0055,Bulawayo,Bulawayo,Imvelo Safari Lodge Pvt Ltd  ,"68 Townsend Road Suburbs, Bulawayo – M Butcher",matapula@matapula.co.zw,0292 232312,,26,,
PSO 0058,Mat North,Victoria Falls,Zambezi Wilderness Safaris,"J S Brown - 411 Livingstone Way, P O Box 18, Victoria Falls",zws@mweb.co.zw,0832844737/9,,,,
PSO 0079,Harare,Harare,Ruwesi Canoe Trails,"4 Drummond Close – P O Box GD 159, Greendale Harare",murcat@zol.co.zw,0712 607 794,,,,
PSO 0088,Mat North,Victoria Falls,Wilderness Safaris Zimbabwe Pvt Ltd,"366 Gibson Road – P O Box 288, Victoria Falls- M L Vincent",tours@wilderness.co.zw,0832843371/3,,18,,
PSO 0089,Mash Central,Shamva,Hippo Pools Wilderness Camp,I S Jarvis  - Mfurudzi Safari Area – 24Sandringham Drive Alexandra Park Harare,cheryl@hippopools.co.zw,0773 050 670,,16,,
PSO 0090,Bulawayo,Bulawayo,African Wanderer ,"Mr  K I Harmer.Douglas Nevitt Hall 9th Ave Ext / S Parirenyatwa, PO Box 1976 Bulawayo",wanderer@mweb.co.zw,0779 364 640,,,,
